	Borough	Postcode
1952	Manhattan	10003
1953	Manhattan	10025
1954	Manhattan	10128
1955	Manhattan	10038
1956	Manhattan	10009
1957	Queens	11377
1958	Queens	11377
1959	Queens	11358
1960	Manhattan	10016
1961	Queens	11357
1962	Manhattan	10025
1963	Manhattan	10036
1964	Manhattan	10009
1965	Queens	11358
1966	Manhattan	10014
1967	Manhattan	10001
1968	Manhattan	10017
1969	Brooklyn	11237
1970	Manhattan	10002
1971	Brooklyn	11203
1972	Brooklyn	11201
1973	Manhattan	10075
1974	Manhattan	10013
1975	Manhattan	10026
1976	Manhattan	10002
1977	Brooklyn	11205
1978	Queens	11373
1979	Queens	11105
1980	Manhattan	10014
1981	Queens	11355
1982	Staten Island	10307
1983	Manhattan	10075
1984	Brooklyn	11214
1985	Queens	11368
1986	Manhattan	10003
1987	Bronx	10469
1988	Queens	11375
1989	Manhattan	10027
1990	Queens	11368
1991	Queens	11103
1992	Manhattan	10028
1993	Manhattan	10014
1994	Staten Island	10301
1995	Brooklyn	11215
1996	Manhattan	10007
1997	Manhattan	10003
1998	Queens	11357
1999	Brooklyn	11222
2000	Queens	11385
2001	Brooklyn	11220
2002	Brooklyn	11224
2003	Manhattan	10002
2004	Staten Island	10314
2005	Queens	11102
2006	Queens	11372
2007	Brooklyn	11238
2008	Queens	11419
2009	Manhattan	10003
2010	Manhattan	10011
2011	Brooklyn	11204
2012	Bronx	10465
2013	Queens	11377
2014	Queens	11374
2015	Brooklyn	11209
2016	Bronx	10467
2017	Queens	11207
2018	Manhattan	10019
2019	Manhattan	10002
2020	Brooklyn	11232
2021	Queens	11354
2022	Bronx	10458
2023	Brooklyn	11201
2024	Manhattan	10032
2025	Manhattan	10003
2026	Bronx	10468
2027	Manhattan	10128
2028	Manhattan	10012
2029	Manhattan	10016
2030	Queens	11372
2031	Manhattan	10128
2032	Manhattan	10017
2033	Brooklyn	11235
2034	Brooklyn	11233
2035	Manhattan	10007
2036	Manhattan	11101
2037	Brooklyn	11221
2038	Bronx	10458
2039	Queens	11361
2040	Manhattan	10029
2041	Brooklyn	11209
2042	Manhattan	10016
2043	Brooklyn	11215
2044	Brooklyn	11217
2045	Brooklyn	11211
2046	Manhattan	10025
2047	Bronx	10458
2048	Bronx	10461
2049	Brooklyn	11217
2050	Queens	11354
2051	Brooklyn	11249
2052	Manhattan	10012
2053	Manhattan	10021
2054	Manhattan	10019
2055	Manhattan	10028
2056	Queens	11411
2057	Manhattan	10002
2058	Manhattan	10017
2059	Queens	11102
2060	Manhattan	10014
2061	Brooklyn	11215
2062	Queens	11420
2063	Manhattan	10011
2064	Brooklyn	11220
2065	Manhattan	10016
2066	Manhattan	10012
2067	Manhattan	10040
2068	Manhattan	10023
2069	Manhattan	10036
2070	Brooklyn	11215
2071	Manhattan	10025
2072	Manhattan	10010
2073	Manhattan	10036
2074	Manhattan	10024
2075	Manhattan	10019
2076	Manhattan	10036
2077	Manhattan	10014
2078	Queens	11385
2079	Manhattan	10011
2080	Manhattan	10128
2081	Manhattan	10022
2082	Manhattan	10004
2083	Brooklyn	11238
2084	Staten Island	10309
2085	Manhattan	10018
2086	Queens	11355
2087	Manhattan	10029
2088	Queens	11101
2089	Manhattan	10012
2090	Manhattan	10021
2091	Manhattan	10029
2092	Manhattan	10028
2093	Queens	11373
2094	Manhattan	10023
2095	Brooklyn	11206
2096	Bronx	10454
2097	Brooklyn	11201
2098	Queens	11104
2099	Manhattan	10034
2100	Manhattan	10075
2101	Manhattan	10020
2102	Manhattan	10003
2103	Manhattan	10027
2104	Manhattan	10011
2105	Manhattan	10075
2106	Manhattan	10019
2107	Queens	11105
2108	Manhattan	10003
2109	Manhattan	10040
2110	Manhattan	10029
2111	Bronx	10458
2112	Manhattan	10028
2113	Manhattan	10016
2114	Manhattan	10017
2115	Manhattan	10014
2116	Brooklyn	11226
2117	Manhattan	10012
2118	Manhattan	10009
2119	Queens	11354
2120	Manhattan	10027
2121	Staten Island	10305
2122	Queens	11101
2123	Manhattan	10013
2124	Manhattan	10003
2125	Manhattan	10011
2126	Manhattan	10012
2127	Manhattan	10029
2128	Brooklyn	11215
2129	Manhattan	10028
2130	Manhattan	10009
2131	Brooklyn	11222
2132	Brooklyn	11238
2133	Manhattan	10025
2134	Queens	11418
2135	Manhattan	10036
2136	Brooklyn	11216
2137	Manhattan	10035
2138	Queens	11106
2139	Manhattan	10012
2140	Queens	11377
2141	Manhattan	10010
2142	Manhattan	10014
2143	Manhattan	10001
2144	Brooklyn	11249
2145	Bronx	10454
2146	Brooklyn	11228
2147	Brooklyn	11238
2148	Queens	11374
2149	Brooklyn	11237
2150	Manhattan	10021
2151	Manhattan	10019
2152	Queens	11106
2153	Manhattan	10009
2154	Queens	11361
2155	Brooklyn	11205
2156	Manhattan	10033
2157	Manhattan	10023
2158	Queens	11372
2159	Brooklyn	11216
2160	Manhattan	10002
2161	Queens	11354
2162	Manhattan	10003
2163	Manhattan	10019
2164	Manhattan	10029
2165	Manhattan	10003
2166	Brooklyn	11211
2167	Queens	11103
2168	Manhattan	10027
2169	Queens	11372
2170	Queens	11361
2171	Manhattan	10013
2172	Manhattan	10022
2173	Queens	11101
2174	Brooklyn	11211
2175	Manhattan	10010
2176	Manhattan	10022
2177	Manhattan	10016
2178	Bronx	10458
2179	Manhattan	10004
2180	Brooklyn	11215
2181	Manhattan	10023
2182	Queens	11104
2183	Manhattan	10028
2184	Brooklyn	11201
2185	Manhattan	10024
2186	Queens	11417
2187	Staten Island	10307
2188	Manhattan	10021
2189	Brooklyn	11216
2190	Brooklyn	11249
2191	Manhattan	10001
2192	Manhattan	10026
2193	Manhattan	10036
2194	Manhattan	10019
2195	Manhattan	10021
2196	Manhattan	10025
2197	Queens	11004
2198	Manhattan	10028
2199	Staten Island	10314
2200	Brooklyn	11238
2201	Manhattan	10011
2202	Brooklyn	11209
2203	Brooklyn	11215
2204	Manhattan	10038
2205	Staten Island	10306
2206	Queens	11372
2207	Manhattan	10009
2208	Queens	11354
2209	Brooklyn	11235
2210	Brooklyn	11238
2211	Brooklyn	11221
2212	Manhattan	10004
2213	Brooklyn	11215
2214	Manhattan	10013
2215	Manhattan	10003
2216	Manhattan	10021
2217	Bronx	10461
2218	Queens	11106
2219	Queens	11368
2220	Manhattan	10012
2221	Manhattan	10003
2222	Brooklyn	11215
2223	Manhattan	10013
2224	Brooklyn	11220
2225	Queens	11372
2226	Queens	11358
2227	Manhattan	10024
2228	Manhattan	10036
2229	Manhattan	10002
2230	Brooklyn	11214
2231	Manhattan	10009
2232	Manhattan	10011
2233	Bronx	10458
2234	Queens	11101
2235	Manhattan	10013
2236	Bronx	10452
2237	Brooklyn	11207
2238	Manhattan	10002
2239	Manhattan	10027
2240	Manhattan	10013
2241	Brooklyn	11217
2242	Queens	11372
2243	Manhattan	10022
2244	Brooklyn	11249
2245	Manhattan	10012
2246	Bronx	10457
2247	Bronx	10459
2248	Manhattan	10019
2249	Brooklyn	11237
2250	Manhattan	10011
2251	Queens	11375
2252	Manhattan	10016
2253	Bronx	10453
2254	Queens	11377
2255	Manhattan	10025
2256	Manhattan	10014
2257	Queens	11372
2258	Manhattan	10014
2259	Manhattan	10014
2260	Brooklyn	11220
2261	Queens	11368
2262	Manhattan	10021
2263	Manhattan	10014
2264	Queens	11417
2265	Brooklyn	11249
2266	Bronx	10451
2267	Manhattan	10017
2268	Queens	11103
2269	Brooklyn	11231
2270	Queens	11385
2271	Brooklyn	11211
2272	Queens	11103
2273	Bronx	10472
